Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
01/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,5,Friday
02/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,6,Saturday
03/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,27,Week 27,7,Sunday
04/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,1,Monday
05/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,2,Tuesday
06/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,3,Wednesday
07/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,4,Thursday
08/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,5,Friday
09/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,6,Saturday
10/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,28,Week 28,7,Sunday
11/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,1,Monday
12/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,2,Tuesday
13/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,3,Wednesday
14/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,4,Thursday
15/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,5,Friday
16/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,6,Saturday
17/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,29,Week 29,7,Sunday
18/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,1,Monday
19/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,2,Tuesday
